,Feature_Importances
Wp,0.13040460777448878
ppg,0.0043453477835354035
pApg,0.01966021465265377
FGp,0.01586639888573559
3Pp,0.006650608200633262
FTp,0.0060636999317109815
ORBpg,0.006947260282950072
RBpg,0.0
ASTpg,0.016324751331944963
STLpg,0.022344492597426425
BLKpg,0.013295497786000494
TOpg,0.02685858471864262
PFpg,0.0
sos,0.12222371779813937
exp_factor,0.03229856007848042
C0,0.0
C1,0.0
C2,0.003079546203123211
F0,0.0
F1,0.0066561395184147835
F2,0.010418059513227764
G0,0.0063685076000631405
G1,0.0
G2,0.011804305904795946
G3,0.006974382396473049
OPWp,0.12960221958250173
OPppg,0.012571769603298377
OPpApg,0.026401946551290276
OPFGp,0.021925806337860485
OP3Pp,0.015290110985822785
OPFTp,0.019452178338528095
OPORBpg,0.009783854595962349
OPRBpg,0.002868836635657271
OPASTpg,0.004772504091460513
OPSTLpg,0.012806153216728941
OPBLKpg,0.009504196636153709
OPTOpg,0.00984578874484273
OPPFpg,0.007069817539153145
OPsos,0.1358385335009468
OPexp_factor,0.032990773901723405
OPC0,0.0
OPC1,0.011088540374064593
OPC2,0.011691173456493693
OPF0,0.015373988236947033
OPF1,0.015296257191144415
OPF2,0.0061377523634562085
OPG0,0.007655956982717907
OPG1,0.0
OPG2,0.006304820122205373
OPG3,0.0071423380526000994
